,Year,subissueLink1,subissueLink2,subissueLink3,subissueLink4
0,2021,/jiel/issue/24/1,/jiel/issue/24/2,/jiel/issue/24/3,/jiel/issue/24/4
1,2020,/jiel/issue/23/1,/jiel/issue/23/2,/jiel/issue/23/3,/jiel/issue/23/4
2,2019,/jiel/issue/22/1,/jiel/issue/22/2,/jiel/issue/22/3,/jiel/issue/22/4
3,2018,/jiel/issue/21/1,/jiel/issue/21/2,/jiel/issue/21/3,/jiel/issue/21/4
4,2017,/jiel/issue/20/1,/jiel/issue/20/2,/jiel/issue/20/3,/jiel/issue/20/4
5,2016,/jiel/issue/19/1,/jiel/issue/19/2,/jiel/issue/19/3,/jiel/issue/19/4
6,2015,/jiel/issue/18/1,/jiel/issue/18/2,/jiel/issue/18/3,/jiel/issue/18/4
7,2014,/jiel/issue/17/1,/jiel/issue/17/2,/jiel/issue/17/3,/jiel/issue/17/4
8,2013,/jiel/issue/16/1,/jiel/issue/16/2,/jiel/issue/16/3,/jiel/issue/16/4
9,2012,/jiel/issue/15/1,/jiel/issue/15/2,/jiel/issue/15/3,/jiel/issue/15/4
10,2011,/jiel/issue/14/1,/jiel/issue/14/2,/jiel/issue/14/3,/jiel/issue/14/4
11,2010,/jiel/issue/13/1,/jiel/issue/13/2,/jiel/issue/13/3,/jiel/issue/13/4
12,2009,/jiel/issue/12/1,/jiel/issue/12/2,/jiel/issue/12/3,/jiel/issue/12/4
13,2008,/jiel/issue/11/1,/jiel/issue/11/2,/jiel/issue/11/3,/jiel/issue/11/4
14,2007,/jiel/issue/10/1,/jiel/issue/10/2,/jiel/issue/10/3,/jiel/issue/10/4
15,2006,/jiel/issue/9/1,/jiel/issue/9/2,/jiel/issue/9/3,/jiel/issue/9/4
16,2005,/jiel/issue/8/1,/jiel/issue/8/2,/jiel/issue/8/3,/jiel/issue/8/4
17,2004,/jiel/issue/7/1,/jiel/issue/7/2,/jiel/issue/7/3,/jiel/issue/7/4
18,2003,/jiel/issue/6/1,/jiel/issue/6/2,/jiel/issue/6/3,/jiel/issue/6/4
19,2002,/jiel/issue/5/1,/jiel/issue/5/2,/jiel/issue/5/3,/jiel/issue/5/4
20,2001,/jiel/issue/4/1,/jiel/issue/4/2,/jiel/issue/4/3,/jiel/issue/4/4
21,2000,/jiel/issue/3/1,/jiel/issue/3/2,/jiel/issue/3/3,/jiel/issue/3/4
22,1999,/jiel/issue/2/1,/jiel/issue/2/2,/jiel/issue/2/3,/jiel/issue/2/4
23,1998,/jiel/issue/1/1,/jiel/issue/1/2,/jiel/issue/1/3,/jiel/issue/1/4
